"Codice Regione","Codice Provincia","Codice Comune","Codice Istat del Comune 
(formato alfanumerico)","Codice Istat del Comune 
(formato numerico)","Codice Istat del Comune a 103 province
(formato numerico)","Codice Istat del Comune a 107 province
(formato numerico)","Denominazione (italiano/tedesco)","Solo denominazione in italiano","Solo denominazione in tedesco","Comune capoluogo di provincia","Zona altimetrica","Altitudine del centro (metri)","Comune litoraneo","Comune Montano","Codice Sistema locale del lavoro 2001","Denominazione Sistema locale del lavoro 2001","Popolazione legale 2001 (21/10/2001)","Popolazione legale 2011 (09/10/2011)"
"01","001"," 001 ","001001",1001,1001,1001,"Agliè","Agliè",,0,3,315,0,"NM",3,"IVREA",2574,2644
"01","001"," 002 ","001002",1002,1002,1002,"Airasca","Airasca",,0,5,257,0,"NM",4,"PINEROLO",3554,3819
"01","001"," 003 ","001003",1003,1003,1003,"Ala di Stura","Ala di Stura",,0,1,1080,0,"T",2,"CIRIE'",479,462
"01","001"," 004 ","001004",1004,1004,1004,"Albiano d'Ivrea","Albiano d'Ivrea",,0,3,230,0,"NM",3,"IVREA",1696,1791
"01","001"," 005 ","001005",1005,1005,1005,"Alice Superiore","Alice Superiore",,0,3,610,0,"T",3,"IVREA",616,701
"01","001"," 006 ","001006",1006,1006,1006,"Almese","Almese",,0,3,364,0,"T",7,"TORINO",5658,6303
"01","001"," 007 ","001007",1007,1007,1007,"Alpette","Alpette",,0,1,957,0,"T",5,"RIVAROLO CANAVESE",300,277
"01","001"," 008 ","001008",1008,1008,1008,"Alpignano","Alpignano",,0,3,314,0,"NM",7,"TORINO",16648,16893
"01","001"," 009 ","001009",1009,1009,1009,"Andezeno","Andezeno",,0,3,306,0,"NM",7,"TORINO",1705,1966
"01","001"," 010 ","001010",1010,1010,1010,"Andrate","Andrate",,0,1,836,0,"T",3,"IVREA",476,512
"01","001"," 011 ","001011",1011,1011,1011,"Angrogna","Angrogna",,0,1,782,0,"T",4,"PINEROLO",777,870
"01","001"," 012 ","001012",1012,1012,1012,"Arignano","Arignano",,0,3,321,0,"NM",7,"TORINO",898,1039
"01","001"," 013 ","001013",1013,1013,1013,"Avigliana","Avigliana",,0,3,383,0,"P",7,"TORINO",11070,12129
"01","001"," 014 ","001014",1014,1014,1014,"Azeglio","Azeglio",,0,3,260,0,"NM",3,"IVREA",1274,1347
"01","001"," 015 ","001015",1015,1015,1015,"Bairo","Bairo",,0,3,365,0,"NM",5,"RIVAROLO CANAVESE",788,816
"01","001"," 016 ","001016",1016,1016,1016,"Balangero","Balangero",,0,3,440,0,"T",2,"CIRIE'",3048,3161
"01","001"," 017 ","001017",1017,1017,1017,"Baldissero Canavese","Baldissero Canavese",,0,3,392,0,"NM",5,"RIVAROLO CANAVESE",513,534
"01","001"," 018 ","001018",1018,1018,1018,"Baldissero Torinese","Baldissero Torinese",,0,3,421,0,"NM",7,"TORINO",3244,3783
"01","001"," 019 ","001019",1019,1019,1019,"Balme","Balme",,0,1,1432,0,"T",2,"CIRIE'",101,95
"01","001"," 020 ","001020",1020,1020,1020,"Banchette","Banchette",,0,3,266,0,"NM",3,"IVREA",3427,3280
